시도교육청코드,시도교육청명,행정구역명,학원교습소명,학원지정번호,학원명,개설일자,등록일자,등록상태명,휴원시작일자,휴원종료일자,정원합계,일시수용능력인원합계,분야명,교습계열명,교습과정목록명,교습과정명,인당수강료,수강료공개여부,기숙사학원여부,도로명주소,도로명상세주소,도로명우편번호,전화번호,수정일자
F10,광주광역시교육청,동구,교습소,1174,김용순교습소,19800812,19800812,개원,        ,99991231,0,0,예능(대),예능(중),,음악, ,N,N,광주광역시 동구 서석로 26,(광산동),501180,,20231018
F10,광주광역시교육청,동구,교습소,4029,김은란과학교습소,20061027,20061027,개원,        ,99991231,45,9,입시.검정 및 보습,보통교과,과학(초등),보습, ,Y,N,광주광역시 동구 밤실로136번길 4-1,", 2층  (산수동)",501816,062-263-0103,20231018
F10,광주광역시교육청,동구,교습소,2500000360,김은숙피아노교습소,19850510,19850510,개원,        ,99991231,0,0,예능(대),예능(중),,음악, ,N,N,광주광역시 동구 구성로238번길 25,", 1층 (계림동)",61428,,20231018
F10,광주광역시교육청,동구,교습소,3000015647,김지영수학교습소,20230413,20230413,개원,        ,99991231,40,5,입시.검정 및 보습,보통교과,,보습, ,Y,N,광주광역시 동구 남문로 589,", 404동 305호 (용산동, 무등산골드클래스2차)",61504,,20231018
F10,광주광역시교육청,동구,교습소,3000020033,김태유영어교습소,20250901,20250901,개원,        ,        ,0,5,입시.검정 및 보습,,,, ,Y, ,광주광역시 동구 동명로 98,(지산동),61445,,20250907
F10,광주광역시교육청,동구,교습소,4830,꿈꾸는책벌레국어논술교습소,20071113,20071113,개원,        ,99991231,8,4,입시.검정 및 보습,보통교과,국어논술(초등),보습,"국어논술(초등):140000, 국어논술(중등):170000, 국어논술(고등):240000",Y,N,광주광역시 동구 무등로 374,", 두산위브상가 306호, 307호 (3층) (계림동,두산위브)",501750,062-236-3979,20241222
F10,전남광주통합특별시교육청(광주),동구,교습소,3000020322,놀작 Bird and bud(버댄버드) 미술교습소,20260707,20260707,개원,        ,        ,0,0,예능(대),예능(중),베이직1(중급),미술,"베이직1(중급):140000, 베이직2(중급):140000, 베이직C(중급):140000, 챌린지(중급):140000, 원데이(중급):35000",Y, ,전남광주통합특별시 동구 육판서길 17,"상가동 104호 (내남동,내남지구2차진아리채)",61514,010-4522-2145,20260712
F10,광주광역시교육청,동구,교습소,5532,능률주니어랩영어교습소,20081030,20081030,개원,        ,99991231,54,9,입시.검정 및 보습,보통교과,영어(중등),보습,"영어(중등):230000, 영어(초등A):190000, 영어(초등B):215000",Y,N,광주광역시 동구 무등로 374,", 308호, 309호, 310호 (계림동, 두산위브)",61412,062-234-5105,20251207
F10,광주광역시교육청,동구,교습소,3000017969,다니엘울림영어교습소,20240521,20240521,개원,        ,        ,0,9,입시.검정 및 보습,,,, ,Y, ,광주광역시 동구 남문로 307,", 216동 103호(월남동,월남호반베르디움 2차)",61514,,20240526
F10,광주광역시교육청,동구,교습소,3000014674,더뮤즈피아노음악교습소,20200625,20200623,개원,        ,99991231,36,6,예능(대),예능(중),피아노(초급),음악,"피아노(초급):140000, 피아노(중급A):150000, 피아노(중급B):160000, 피아노(고급):170000",Y,N,광주광역시 동구 육판서길 17,", 상가동 208호 (내남동, 내남지구2차진아리채)",61514,,20260301
F10,광주광역시교육청,동구,교습소,3000015699,독서공간리드인독서논술교습소,20230628,20230628,개원,        ,        ,0,7,입시.검정 및 보습,보통교과,독서논술(초등A),보습,"독서논술(초등A):100000, 독서논술(초등B):183000, 독서논술(초등C):220000",Y,N,광주광역시 동구 경양로 234,"107동 상가 343호(계림동, 그랜드센트럴)",61424,,20251005
F10,광주광역시교육청,동구,교습소,6044,라벨피아노교습소,20090709,20090709,개원,        ,99991231,20,5,예능(대),예능(중),피아노(중급A),음악,"피아노(중급A):130000, 피아노(고급A):140000, 피아노(고급B):150000, 피아노(입시):180000",Y,N,광주광역시 동구 제봉로82번길 23,", 1층 (서석동, 라벨피아노외)",61465,062-228-9660,20260405
F10,광주광역시교육청,동구,교습소,3000019751,리드인논술을만나다국어논술교습소,20241021,20241021,개원,        ,        ,0,9,입시.검정 및 보습,,,, ,Y, ,광주광역시 동구 남문로 343,(월남동) 301호 일부,61514,,20241103
F10,광주광역시교육청,동구,교습소,3000014971,리드인독서논술교습소,20210623,20210623,개원,        ,99991231,56,9,입시.검정 및 보습,보통교과,논술(중등B),보습·논술,"논술(중등B):140000, 논술(초등A):165000, 논술(초등B):210000, 논술(중등A):240000",Y,N,광주광역시 동구 필문대로 70,"상가C동 B103호,B104호 (계림동,계림아이파크SK뷰)",61404,,20260215
F10,광주광역시교육청,동구,교습소,3000015664,리브로아르츠동구센트럴점미술교습소,20230428,20230428,개원,        ,99991231,24,8,예능(대),예능(중),초급,미술,"초급:130000, 중급:130000, 입시반:160000",Y,N,광주광역시 동구 경양로 234,", 116동 602호 (계림동, 그랜드센트럴상가)",61424,null,20250525
F10,광주광역시교육청,동구,교습소,3536,마노아음악교습소,20060220,20060220,개원,        ,99991231,42,9,예능(대),예능(중),피아노(초급),음악,"피아노(초급):150000, 피아노(중급):160000, 피아노(고급):170000, 플룻(초급):160000, 플룻(중급):170000, 플룻(고급):180000, 오카리나(중급):160000",Y,N,광주광역시 동구 필문대로 70,"(계림동,계림아이파크SK뷰)상가C동 B109호",61404,062-527-5242,20260125
F10,광주광역시교육청,동구,교습소,2500000366,명음피아노교습소,19880506,19880506,개원,        ,99991231,0,0,예능(대),예능(중),초급피아노A,음악,"초급피아노A:48000, 초급피아노B:48000, 중급피아노:26000, 고급피아노:30000",N,N,광주광역시 동구 지산로85번길 15-10,(지산동),501838,062-232-4832,20260315
F10,광주광역시교육청,동구,교습소,898,명인피아노교습소,20020913,20020913,개원,        ,99991231,12,4,예능(대),예능(중),피아노(초급),음악,"피아노(초급):130000, 피아노(중급):140000, 피아노(고급):150000",Y,N,광주광역시 동구 준법로 32-1,", 3층 (지산동)",501836,062-224-6781,20250608
F10,광주광역시교육청,동구,교습소,3000013954,문쌤수학교습소,20180914,20180914,개원,        ,99991231,16,4,입시.검정 및 보습,보통교과,,보습, ,Y,N,광주광역시 동구 밤실로30번길 4-3,", 3층일부 (지산동)",61443,,20231018
F10,광주광역시교육청,동구,교습소,3000015645,뮤엠영어계림점영어교습소,20230411,20230411,개원,        ,99991231,49,7,입시.검정 및 보습,보통교과,,보습, ,Y,N,광주광역시 동구 무등로 374,", 상가동 103호 (계림동, 두산위브)",61412,,20231018
F10,전남광주통합특별시교육청(광주),동구,교습소,3000015150,미래엔영어소태영어교습소,20211224,20211224,개원,        ,99991231,35,7,입시.검정 및 보습,보통교과,중등기본과정,보습,"중등기본과정:210000, 초등파닉스:170000, 초등기본과정:180000",Y,N,전남광주통합특별시 동구 남문로 612-9,", 2층 (소태동)",61500,062-229-7077,20260809
F10,광주광역시교육청,동구,교습소,2500000391,미솔음악교습소,19970530,19970530,개원,        ,99991231,64,8,예능(대),예능(중),,음악,"성악(초급):120000, 성악(중급):140000, 성악(고급):150000, 피아노A(초급):110000, 피아노B(초급):120000, 피아노C(초급):130000, 피아노(중급):140000, 피아노(고급):160000, 피아노(초급):120000, 피아노(중급):130000, 피아노(고급A):140000, 피아노(고급B):150000, 성악(초급):50000, 성악(중급):57000, 성악(고급):65000",Y,N,광주광역시 동구 남문로622번길 11-1,", 1층 일부 (소태동)",61498,062-228-1661,20231018
F10,광주광역시교육청,동구,교습소,3000017888,바른수학교습소,20240304,20240304,개원,        ,        ,0,9,입시.검정 및 보습,보통교과,초등수학A-1,보습,"초등수학A-1:100000, 초등수학A-2:120000, 초등수학A-3:200000, 초등수학A-4:220000, 초등수학B-1:200000, 초등수학B-2:220000, 초등수학A-5:230000, 초등수학A-6:240000, 중등수학C-1:230000, 중등수학C-2:250000, 중등수학D:150000",Y, ,광주광역시 동구 경양로 234,"(계림동,그랜드센트럴상가동) 107동 333호",61424,,20260301
F10,광주광역시교육청,동구,교습소,3000013740,바림미술교습소,20180409,20180409,개원,        ,99991231,21,7,예능(대),예능(중),,미술, ,Y,N,광주광역시 동구 필문대로206번길 12-1,", 1층 일부 (산수동)",61433,,20231018
F10,광주광역시교육청,동구,교습소,3000013763,박소정영어교습소,20180427,20180427,개원,        ,99991231,30,6,입시.검정 및 보습,보통교과,초등영어,보습,"초등영어:210000, 중등영어:240000, 고등영어A:290000, 고등영어B:340000",Y,N,광주광역시 동구 남문로 672,", 2층일부 (학동)",61463,null,20250330
F10,광주광역시교육청,동구,교습소,3000015582,브릿비영어교습소,20230209,20230209,개원,        ,99991231,35,5,입시.검정 및 보습,보통교과,,보습, ,Y,N,광주광역시 동구 남문로 589,", 307호 (용산동, 무등산골드클래스2차)",61504,,20231018
F10,광주광역시교육청,동구,교습소,3000020283,비비드영어교습소,20260514,20260514,개원,        ,        ,0,0,국제화,외국어,실용영어A,실용외국어(유아/초·중·고),"실용영어A:220000, 실용영어B:240000, 실용영어C:70000, 중등영어A:250000, 중등영어B:270000",Y, ,광주광역시 동구 무등로 373,교대역모아엘가그랑데 단지내 근린생활시설 152동B115호(계림동),61403,,20260628
F10,광주광역시교육청,동구,교습소,3000017989,비상잉글리시아이내남영어교습소,20240614,20240614,개원,        ,        ,0,6,입시.검정 및 보습,보통교과,초등영어A,보습,"초등영어A:210000, 초등영어B:220000, 중등영어:230000",Y, ,광주광역시 동구 육판서길 17,"(내남동,내남지구2차진아리채 상가동) 103호",61514,,20250406
F10,광주광역시교육청,동구,교습소,3000013978,사랑음악교습소,20181010,20181010,개원,        ,99991231,30,5,예능(대),예능(중),피아노(초급),음악,"피아노(초급):120000, 피아노(중급):130000, 피아노(고급):140000, 입시반:150000, 기타:110000, 우쿨렐레:110000, 플룻:110000, 바이올린:110000, 드럼:110000, 성악:110000",Y,N,광주광역시 동구 밤실로30번길 8,", 1층일부 (지산동)",61443,null,20240929
F10,광주광역시교육청,동구,교습소,3000011719,상상놀이미술교습소,20140324,20140324,개원,        ,99991231,54,9,예능(대),예능(중),초급미술A,음악,"초급미술A:110000, 초급미술B:90000, 초급미술C:70000, 고급미술A:120000, 고급미술B:10000, 고급미술C:90000",Y,N,광주광역시 동구 밤실로 154,", (5층일부) (산수동)",501823,062-262-6440,20231018
F10,광주광역시교육청,동구,교습소,4387,샘터수학교습소,20070326,20070326,개원,        ,99991231,24,6,입시.검정 및 보습,보통교과,수학(초등),보습,"수학(초등):150000, 수학(중등):200000",Y,N,광주광역시 동구 제봉로82번길 23,", 2층 (서석동)",501824,062-225-4262,20260315
F10,광주광역시교육청,동구,교습소,3000020061,성지수학교습소,20251017,20251017,개원,        ,        ,0,6,입시.검정 및 보습,,,, ,Y, ,광주광역시 동구 동계로 38,"121동11호(산수동,무등산 그린웰로제비앙)",61416,010-8732-3084,20251019
F10,전남광주통합특별시교육청(광주),동구,교습소,3000014168,세연수학교습소,20190311,20190311,개원,        ,99991231,32,4,입시.검정 및 보습,보통교과,초등A,보습,"초등A:137000, 초등B:178000, 중등A:223000, 중등B:250000, 고등A:234000, 고등B:307000, 초등C:190000, 중등C:214000",Y,N,전남광주통합특별시 동구 밤실로 100,", 202호 (산수동)",61410,,20260816
F10,광주광역시교육청,동구,교습소,3000015351,센트럴피아노음악교습소,20220628,20220628,개원,        ,99991231,56,7,예능(대),예능(중),,음악,"피아노(초급):140000, 피아노(중급):150000, 피아노(고급):160000, 리코더·오카리나 등(초급):70000, 피아노(초급)A:140000, 피아노(초급)B:130000, 피아노(중급)A:120000, 피아노(중급)B:150000, 피아노(고급):160000, 리코더, 오카리나, 우쿨렐레 등(초급):70000",Y,N,광주광역시 동구 경양로 234,", 108동 442호 (계림동, 그랜드센트럴)",61424,,20231018
F10,광주광역시교육청,동구,교습소,3000017725,셀파우등생교실수학교습소,20230912,20230912,개원,        ,        ,0,9,입시.검정 및 보습,보통교과,초등수학,보습,"초등수학:250000, 중등수학:270000, 고등수학:350000",Y, ,광주광역시 동구 용산1길 2,"212동 근생2 106호(용산동,계룡리슈빌 더 포레스트)",61508,,20250831
F10,광주광역시교육청,동구,교습소,932,소리피아노교습소,19831116,19831116,개원,        ,99991231,24,4,예능(대),예능(중),피아노(초급),음악, ,Y,N,광주광역시 동구 학소로62번길 7-1,", 1층 (소태동)",61501,062-225-5831,20231018
F10,광주광역시교육청,동구,교습소,6992,송선생수학교습소,20100622,20100622,개원,        ,99991231,35,5,입시.검정 및 보습,보통교과,초등수학,보습,"초등수학:180000, 중등수학:200000, 고등수학학:400000",Y,N,광주광역시 북구 서하로 332,"(오치동), 2층",61132,062-223-4409,20231113
F10,광주광역시교육청,동구,교습소,948,송은피아노교습소,19910406,19910406,개원,        ,99991231,6,6,예능(대),예능(중),,음악, ,N,N,광주광역시 동구 무등로449번길 31,", 1층 (산수동)",61406,062-529-7713,20231018
F10,전남광주통합특별시교육청(광주),동구,교습소,3000020335,쇼팽피아노교습소,20260721,20260721,개원,        ,        ,0,5,예능(대),예능(중),피아노 초급,음악,"피아노 초급:150000, 피아노 고급:170000, 피아노 중급:160000",Y, ,전남광주통합특별시 동구 무등로 373,", 153동 B125호(계림동,교대역모아엘가그랑데)",61403,,20260726
F10,광주광역시교육청,동구,교습소,3000019719,수학길수학교습소,20240829,20240829,개원,        ,        ,0,9,입시.검정 및 보습,보통교과,중등수학A,보습,"중등수학A:140000, 중등수학B:210000, 고등수학A:190000, 고등수학B:290000, 고등수학C:420000",Y, ,광주광역시 동구 용산1길 2,"용산지구 2BL계룡리슈빌더포레스트 근린생활시설-2 212동 108호(용산동,계룡리슈빌 더 포레스트)",61508,,20241222
F10,광주광역시교육청,동구,교습소,3000015170,시너리미술교습소,20220106,20220106,개원,        ,99991231,36,9,예능(대),예능(중),,미술,"크로키반(초급):50000, 소묘(중급):70000, 미술(고급):80000, 수채화반(고급):160000, 아크릴반(고급):160000, 정규반(고급):70000, 탄력반(고급):110000, 종일반(고급):140000",Y,N,광주광역시 동구 밤실로 100,", 203호 (산수동)",61410,,20231018
F10,전남광주통합특별시교육청(광주),동구,교습소,6406,아이비티주니어영어교습소,20091027,20091027,개원,        ,99991231,25,5,입시.검정 및 보습,보통교과,영어(초등),보습,"영어(초등):200000, 영어(중등):230000, 영어(고등):350000",Y,N,전남광주통합특별시 동구 운림길 58,", 202 (운림동,라인.광명아파트)",501833,062-226-9898,20260823
F10,전남광주통합특별시교육청(광주),동구,교습소,3000020310,아이인아트미술교습소,20260702,20260702,개원,        ,        ,0,9,예능(대),,,, ,Y, ,전남광주통합특별시 동구 무등로 373,"153동 b126호(계림동,교대역모아엘가그랑데)",61403,010-4447-8568,20260712
F10,광주광역시교육청,동구,교습소,3000014991,에듀비젼수학교습소,20210713,20210713,개원,        ,99991231,24,9,입시.검정 및 보습,보통교과,초등수학,보습,"초등수학:234000, 중등수학:338400, 고등수학:460800",Y,N,광주광역시 동구 무등로 388-3,", 4층 401호(계림동)",61417,,20240623
F10,광주광역시교육청,동구,교습소,3000015168,에스앤에스음악교습소,20220115,20220108,개원,        ,99991231,72,9,예능(대),예능(중),,음악,"성악(초급):79200, 성악(중급):105600, 성악(고급):132200, 보컬(초급):79200, 보컬(중급):105600, 보컬(고급):132200, 초등성악(고급):150000, 초등성악(입시):200000, 초등보컬(고급과정):150000, 초등보컬(입시과정):200000, 중등성악/보컬(입시과정):300000, 고등성악/보컬(입시과정):400000, 일반부고급과정:300000, 일반부입시과정:400000",Y,N,광주광역시 동구 동계천로 136,", 4층 (장동)",61436,,20231018
F10,광주광역시교육청,동구,교습소,3000017711,영어로만영어교습소,20230818,20230818,개원,        ,        ,0,9,입시.검정 및 보습,보통교과,영어(초등A),보습,"영어(초등A):200000, 영어(초등B):270000, 영어(초등C):200000, 영어(중등A):220000, 영어(중등B):260000, 영어(중등C):350000, 영어(고등A):360000, 영어(고등B):270000, 영어(고등C):250000, 특강(초등):120000, 특강(중등):150000, 특강(고등):190000",Y, ,광주광역시 동구 밤실로 152-1,3층 일부(산수동),61409,,20241229
F10,광주광역시교육청,동구,교습소,2500000341,예음피아노교습소,19961009,19961009,개원,        ,99991231,24,4,예능(대),예능(중),피아노(초급),음악,"피아노(초급):140000, 피아노(중급A):150000, 피아노(중급B):160000, 피아노(고급):170000",Y,N,광주광역시 동구 무등로 530-1,", 2층 (산수동)",61438,062-226-6533,20241229
F10,광주광역시교육청,동구,교습소,3000015307,예향음악교습소,20220511,20220511,개원,        ,99991231,45,9,예능(대),예능(중),,음악,"피아노(초급A):110000, 피아노(초급B):130000, 피아노(중급):140000, 피아노(고급):160000, 피아노(입시):500000, 작곡(입시):120000, 피아노(초급):130000, 피아노(중급):150000, 피아노(고급):170000, 피아노(입시):500000, 작곡(입시):150000",Y,N,광주광역시 동구 제봉로98번길 8,", 2층 (서석동, 예향피아노학원)",61465,,20231018
F10,광주광역시교육청,동구,교습소,3000015467,오로라발레교습소,20221109,20221109,개원,        ,99991231,45,9,예능(대),예능(중),,무용, ,Y,N,광주광역시 북구 서양로 157,", 상가 413호 (우산동, 무등산자이앤어울림아파트1단지)",61210,,20240114
F10,광주광역시교육청,동구,교습소,2500000333,우영피아노교습소,19930818,19930818,개원,        ,99991231,30,5,예능(대),예능(중),피아노(초급),음악, ,Y,N,광주광역시 동구 학소로62번길 4,", 1층 (소태동)",61501,062-226-9014,20231018
F10,광주광역시교육청,동구,교습소,5273,월민한문교습소,20080611,20080611,개원,        ,99991231,45,9,입시.검정 및 보습,보통교과,한문,보습, ,Y,N,광주광역시 동구 의재로 149-7,", 라인아파트상가 209호 (운림동,라인2차아파트)",501834,062-226-2405,20231018
F10,광주광역시교육청,동구,교습소,3000015432,위위아트미술교습소,20220915,20220915,개원,        ,99991231,45,9,예능(대),예능(중),초등미술A(초급),미술,"초등미술A(초급):130000, 초등미술B(초급):140000, 초등미술C(초급):150000, 초등미술D(초급):170000, 초등미술A(중급):90000, 초등미술A(고급):100000, 중등미술A(입시):190000",Y,N,광주광역시 동구 남문로 589,", 상가 403동 205호 (용산동, 무등산골드클래스2차)",61504,null,20250216
F10,광주광역시교육청,동구,교습소,3000017714,이루다영어교습소,20230825,20230825,개원,        ,        ,0,9,입시.검정 및 보습,,,, ,Y, ,광주광역시 동구 필문대로 70,"상가A동 108호, 109호(계림동,계림아이파크SK뷰)",61404,,20251019
F10,광주광역시교육청,동구,교습소,3000017788,이태영수학교습소,20231207,20231207,개원,        ,        ,0,9,입시.검정 및 보습,보통교과,수학(초등A),보습,"수학(초등A):190000, 수학(초등B):200000, 수학(초등C):210000, 수학(중등A):230000, 수학(중등B):240000, 수학(중등C):250000, 수학(고등A):300000",Y, ,광주광역시 동구 남문로622번길 17,", 1층(소태동)",61498,,20250629
F10,광주광역시교육청,동구,교습소,3000014405,작은손음악교습소,20190930,20190930,개원,        ,99991231,30,6,예능(대),예능(중),,음악, ,Y,N,광주광역시 동구 화산로 328-6,", 상가동 103호 (용산동, 호반아파트)",61509,,20231018
F10,광주광역시교육청,동구,교습소,3000012380,전대예원음악교습소,20150728,20150728,개원,        ,99991231,42,6,예능(대),예능(중),피아노(초급),음악,"피아노(초급):140000, 피아노(중급):150000, 피아노(고급):150000",Y,N,광주광역시 동구 무등로 374,", 201호, 202호 (계림동, 두산위브)",61412,null,20241222
F10,광주광역시교육청,동구,교습소,3000018023,정석수학교습소,20240711,20240711,개원,        ,        ,0,7,입시.검정 및 보습,보통교과,초등수학,보습,"초등수학:240000, 중등수학:300000, 고등수학:350000",Y,N,광주광역시 동구 필문대로 70,"(계림동,계림아이파크SK뷰) C상가 B113호",61404,,20250525
F10,광주광역시교육청,동구,교습소,3000017784,조형서수학교습소,20231130,20231130,개원,        ,        ,0,7,입시.검정 및 보습,보통교과,수학(고등A),보습,"수학(고등A):370000, 수학(고등B):185000, 수학(고등집중보충):80000, 수학(중등A):420000, 수학(중등B):280000, 수학(초등A):210000, 수학(초등B):140000",Y, ,광주광역시 동구 남문로 589,"404동 204호(용산동,무등산골드클래스2차)",61499,,20241222
F10,광주광역시교육청,동구,교습소,3000011492,즐거운셈수학교습소,20131017,20131017,개원,        ,99991231,30,6,입시.검정 및 보습,보통교과,수학(초등),보습,"수학(초등):140000, 수학(중등):160000",Y,N,광주광역시 동구 무등로 374,", 두산위브상가 203호 (계림동,두산위브)",501750,062-264-8355,20241222
F10,광주광역시교육청,동구,교습소,3000020085,차수학교습소,20251110,20251110,개원,        ,        ,0,0,입시.검정 및 보습,,,, ,Y, ,광주광역시 동구 육판서길 17,"상가동 205호,206호 (내남동,내남지구2차진아리채)",61514,,20251116
F10,전남광주통합특별시교육청(광주),동구,교습소,3000015454,최상위수학교습소,20221014,20221014,개원,        ,99991231,45,9,입시.검정 및 보습,보통교과,초등수학B,보습,"초등수학B:240000, 초등수학C:250000, 중등수학A:270000, 중등수학B:300000, 고등수학A:380000, 고등수학B:500000",Y,N,전남광주통합특별시 동구 필문대로 70,", 상가 123동 104호, 105호 (계림동, 계림아이파크SK뷰)",61404,null,20260823
F10,광주광역시교육청,동구,교습소,1241,최승희교습소,20110106,19850420,개원,        ,99991231,0,0,예능(대),예능(중),,음악, ,N,N,광주광역시 동구 장동로 43,(동명동),501813,062-222-3072,20231018
F10,광주광역시교육청,동구,교습소,3000020032,최창훈수학교습소,20250901,20250901,개원,        ,        ,0,4,입시.검정 및 보습,,,, ,Y, ,광주광역시 동구 동명로 98,",2층일부(지산동)",61445,,20250907
F10,광주광역시교육청,동구,교습소,3000020034,칸타빌레음악교습소,20250902,20250902,개원,        ,        ,0,5,예능(대),,,, ,Y, ,광주광역시 동구 중앙로290번길 16,",상가 2층 113호(계림동,두산위브더파크)",61413,,20250907
F10,전남광주통합특별시교육청(광주),동구,교습소,3000020209,코어영어교습소,20260223,20260223,개원,        ,        ,0,8,입시.검정 및 보습,,,, ,Y, ,전남광주통합특별시 동구 무등로375번길 11-1,3층(계림동),61403,,20260712
F10,광주광역시교육청,동구,교습소,3000020232,크리아트계림미술교습소															,20260313,20260313,개원,        ,        ,0,9,예능(대),,,, ,Y, ,광주광역시 동구 중앙로290번길 16,"근린생활시설 104호(계림동,두산위브더파크)",61413,010-7444-2541,20260329
F10,광주광역시교육청,동구,교습소,3000015663,크리아트용산미술교습소,20230427,20230427,개원,        ,99991231,65,5,예능(대),예능(중),미술(초급),미술,"미술(초급):110000, 미술(고급):150000",Y,N,광주광역시 동구 용산3길 17,", 113호 (용산동, 모아엘가 에듀파크)",61508,,20251207
F10,광주광역시교육청,동구,교습소,3000014252,클랑피아노음악교습소,20190521,20190520,개원,        ,99991231,45,9,예능(대),예능(중),,음악, ,Y,N,광주광역시 동구 남문로644번길 14,", 2층 일부 (소태동)",61498,,20240414
F10,광주광역시교육청,동구,교습소,3000019723,킴스잉글리쉬(Kim's English)영어교습소,20240903,20240903,개원,        ,        ,0,9,입시.검정 및 보습,,,, ,Y, ,광주광역시 동구 필문대로 70,", 계림아이파크에스케이뷰 상가A동 B111호(계림동)",61404,,20251026
F10,광주광역시교육청,동구,교습소,3000010690,토토미술교습소,20120302,20120302,개원,        ,99991231,18,9,예능(대),예능(중),미술(초급),미술,"미술(초급):160000, 미술(중급)A:170000, 미술(중급)B:130000, 미술(고급)A:100000, 미술(고급)B:60000, 미술(입시):70000",Y,N,광주광역시 동구 남문로693번길11,", 학2마을아파트상가동 206호  (학동)",501841,062-222-2529,20250427
F10,광주광역시교육청,동구,교습소,3000010856,툴즈과학교습소,20120605,20120605,개원,        ,99991231,40,5,입시.검정 및 보습,보통교과,,보습, ,Y,N,광주광역시 동구 장동로 19,", 4층 일부 (장동)",61436,,20231018
F10,광주광역시교육청,동구,교습소,3000010839,툴즈수학교습소,20120605,20120605,개원,        ,99991231,16,2,입시.검정 및 보습,보통교과,,보습, ,Y,N,광주광역시 동구 장동로 19,", 4층 일부 (장동)",61436,070-4645-4650,20231018
